category,current_avg_monthly_spend,spend_vs_cluster_benchmark,spend_volatility_normalised,income_bracket_encoded,category_type,months_consistently_present,realistic_reduction_pct
healthcare,4553.22,1.493,0.0916,1,0.05,11,0.0195
investments,8369.05,0.9359,0.0916,1,0.3,9,0.0369
fuel,5226.18,1.0041,0.0916,1,0.45,8,0.1988
food,15264.44,1.3375,0.1001,1,0.5,11,0.1671
groceries,9493.74,1.2812,0.1001,1,0.15,11,0.0021
transport,4381.72,0.7679,0.1001,1,0.4,9,0.1924
shopping,6801.7,1.0417,0.1001,1,0.9,4,0.2527
entertainment,2978.43,0.8078,0.1001,1,1.0,6,0.2921
utilities,9472.26,1.4865,0.1001,1,0.1,10,0.0161
healthcare,3250.49,1.1407,0.1001,1,0.05,10,0.0397
investments,357.98,0.069,0.1001,1,0.3,7,0.0056
fuel,5119.17,1.25,0.1001,1,0.45,11,0.1379
food,4428.31,0.8243,0.1523,1,0.5,7,0.113
groceries,4222.73,1.2106,0.1523,1,0.15,10,0.0778
transport,2925.24,1.0891,0.1523,1,0.4,11,0.1861
shopping,1782.78,0.58,0.1523,1,0.9,9,0.1624
entertainment,1546.87,0.8913,0.1523,1,1.0,9,0.1488
utilities,2106.31,0.7022,0.1523,1,0.1,12,0.0045
healthcare,343.75,0.2563,0.1523,1,0.05,12,0.0063
investments,2857.84,1.1697,0.1523,1,0.3,10,0.0106
fuel,2204.04,1.1434,0.1523,1,0.45,11,0.1538
food,16465.54,1.2338,0.1395,1,0.5,7,0.1249
groceries,6679.05,0.8209,0.1395,1,0.15,11,0.0289
transport,6060.14,0.8522,0.1395,1,0.4,10,0.0873
shopping,5821.61,0.8716,0.1395,1,0.9,5,0.243
entertainment,3816.6,1.1723,0.1395,1,1.0,5,0.3905
utilities,6124.61,0.9341,0.1395,1,0.1,12,0.0125
healthcare,4242.1,1.2007,0.1395,1,0.05,11,0.0704
investments,4499.98,0.842,0.1395,1,0.3,9,0.0072
fuel,5305.85,1.3879,0.1395,1,0.45,10,0.2016
food,10983.18,0.9467,0.105,1,0.5,10,0.0465
groceries,4869.28,0.6464,0.105,1,0.15,10,0.0506
transport,5153.14,0.8883,0.105,1,0.4,8,0.1062
shopping,7547.75,1.1371,0.105,1,0.9,9,0.3375
entertainment,2103.47,0.5612,0.105,1,1.0,6,0.2173
utilities,9614.83,1.4843,0.105,1,0.1,11,0.0494
healthcare,3304.41,1.1407,0.105,1,0.05,12,0.0794
investments,6012.0,1.1393,0.105,1,0.3,11,0.0531
fuel,2874.99,0.6906,0.105,1,0.45,7,0.1221
food,15704.9,1.1198,0.1417,1,0.5,11,0.2139
groceries,7059.75,0.8257,0.1417,1,0.15,12,0.0197
transport,6761.64,0.9048,0.1417,1,0.4,11,0.1513
shopping,4803.61,0.6844,0.1417,1,0.9,4,0.3251
entertainment,3055.61,0.8931,0.1417,1,1.0,9,0.2034
utilities,9735.95,1.413,0.1417,1,0.1,11,0.0611
healthcare,1869.95,0.5036,0.1417,1,0.05,12,0.0034
investments,5372.73,0.9566,0.1417,1,0.3,8,0.0
fuel,4905.24,1.2209,0.1417,1,0.45,7,0.1417
food,8527.09,1.4473,0.089,1,0.5,7,0.2171
groceries,4524.13,1.1826,0.089,1,0.15,12,0.0097
transport,3086.31,1.0477,0.089,1,0.4,9,0.1842
shopping,3600.08,1.068,0.089,1,0.9,8,0.1875
entertainment,543.34,0.2854,0.089,1,1.0,5,0.2358
utilities,4723.72,1.436,0.089,1,0.1,10,0.0258
healthcare,184.81,0.1256,0.089,1,0.05,11,0.0
investments,1607.84,0.6,0.089,1,0.3,8,0.0
fuel,2605.81,1.2325,0.089,1,0.45,10,0.1055
food,8043.07,0.9122,0.1138,1,0.5,11,0.1896
groceries,6499.73,1.1353,0.1138,1,0.15,12,0.0664
transport,4657.68,1.0565,0.1138,1,0.4,11,0.1522
shopping,3590.06,0.7116,0.1138,1,0.9,8,0.253
entertainment,2079.91,0.7301,0.1138,1,1.0,5,0.1909
utilities,6328.25,1.2854,0.1138,1,0.1,12,0.0515
healthcare,3230.5,1.4673,0.1138,1,0.05,10,0.0677
investments,4110.04,1.0248,0.1138,1,0.3,9,0.0
fuel,4679.81,1.479,0.1138,1,0.45,10,0.138
food,7568.43,0.6338,0.1529,1,0.5,10,0.0036
groceries,6039.75,0.8296,0.1529,1,0.15,10,0.0
transport,7233.85,1.1369,0.1529,1,0.4,9,0.1663
shopping,6956.96,1.1641,0.1529,1,0.9,6,0.3773
entertainment,4972.55,1.7069,0.1529,1,1.0,9,0.3551
utilities,6264.72,1.0678,0.1529,1,0.1,11,0.0314
healthcare,4793.72,1.5164,0.1529,1,0.05,12,0.1156
investments,5024.47,1.0507,0.1529,1,0.3,7,0.0722
fuel,3714.99,1.086,0.1529,1,0.45,7,0.0635
food,17927.4,1.2208,0.1602,1,0.5,8,0.1357
groceries,8193.97,0.9152,0.1602,1,0.15,10,0.06
transport,9116.23,1.165,0.1602,1,0.4,8,0.153
shopping,6221.74,0.8465,0.1602,1,0.9,6,0.1762
entertainment,3121.51,0.8713,0.1602,1,1.0,4,0.2933
utilities,7761.21,1.0757,0.1602,1,0.1,11,0.0119
healthcare,3774.19,0.9708,0.1602,1,0.05,11,0.0
investments,6583.55,1.1194,0.1602,1,0.3,8,0.0
fuel,5696.76,1.3541,0.1602,1,0.45,10,0.152
food,12260.13,1.7905,0.1332,1,0.5,7,0.2848
groceries,2654.79,0.5971,0.1332,1,0.15,10,0.0062
transport,3565.49,1.0414,0.1332,1,0.4,11,0.0745
shopping,2882.46,0.7357,0.1332,1,0.9,8,0.1977
entertainment,2555.98,1.1553,0.1332,1,1.0,9,0.3582
utilities,4325.84,1.1315,0.1332,1,0.1,12,0.0504
healthcare,1013.8,0.593,0.1332,1,0.05,12,0.0
investments,6155.84,1.9766,0.1332,1,0.3,8,0.1021
fuel,833.38,0.3392,0.1332,1,0.45,9,0.1107
food,14577.62,1.0319,0.1253,1,0.5,9,0.1321
groceries,7930.33,0.9208,0.1253,1,0.15,12,0.0318
transport,8339.82,1.1079,0.1253,1,0.4,10,0.1736
shopping,7343.41,1.0386,0.1253,1,0.9,9,0.1727
entertainment,3180.32,0.9228,0.1253,1,1.0,7,0.2332
utilities,6299.22,0.9076,0.1253,1,0.1,11,0.0013
healthcare,8626.45,2.3066,0.1253,1,0.05,11,0.198
investments,3876.44,0.6852,0.1253,1,0.3,10,0.0
fuel,4661.29,1.1518,0.1253,1,0.45,8,0.2216
food,13261.21,0.8754,0.1803,1,0.5,11,0.2887
groceries,10070.32,1.0903,0.1803,1,0.15,10,0.0318
transport,8189.46,1.0145,0.1803,1,0.4,8,0.0603
shopping,7238.04,0.9546,0.1803,1,0.9,8,0.2502
entertainment,4625.32,1.2515,0.1803,1,1.0,4,0.3917
utilities,5137.62,0.6903,0.1803,1,0.1,12,0.0976
healthcare,1602.76,0.3996,0.1803,1,0.05,12,0.0
investments,11307.16,1.8637,0.1803,1,0.3,8,0.0729
fuel,4837.56,1.1147,0.1803,1,0.45,8,0.2221
food,6168.95,0.6932,0.1256,1,0.5,9,0.1895
groceries,2718.8,0.4705,0.1256,1,0.15,11,0.0128
transport,8915.66,2.0038,0.1256,1,0.4,9,0.1828
shopping,4410.38,0.8662,0.1256,1,0.9,6,0.2825
entertainment,1708.32,0.5942,0.1256,1,1.0,8,0.2363
utilities,4432.71,0.8921,0.1256,1,0.1,11,0.0184
healthcare,279.14,0.1256,0.1256,1,0.05,11,0.0452
investments,2741.13,0.6772,0.1256,1,0.3,8,0.0502
fuel,4304.31,1.3479,0.1256,1,0.45,9,0.0968
food,8616.92,1.0251,0.1243,1,0.5,7,0.0969
groceries,4155.53,0.7614,0.1243,1,0.15,10,0.0655
transport,5737.58,1.3651,0.1243,1,0.4,7,0.1118
shopping,4313.73,0.8969,0.1243,1,0.9,6,0.2107
entertainment,2362.53,0.8699,0.1243,1,1.0,4,0.2018
utilities,5183.86,1.1045,0.1243,1,0.1,12,0.0326
healthcare,4224.08,2.0126,0.1243,1,0.05,12,0.1408
investments,3902.4,1.0207,0.1243,1,0.3,9,0.0
fuel,3259.03,1.0804,0.1243,1,0.45,10,0.0679
food,12233.39,1.3425,0.1259,1,0.5,10,0.3029
groceries,4978.75,0.8962,0.1259,1,0.15,11,0.0083
transport,3319.17,0.6836,0.1259,1,0.4,8,0.0805
shopping,6541.49,1.4344,0.1259,1,0.9,7,0.3136
entertainment,1826.86,0.8218,0.1259,1,1.0,6,0.268
utilities,2980.21,0.6657,0.1259,1,0.1,10,0.0
healthcare,2165.82,0.8978,0.1259,1,0.05,10,0.0447
investments,5480.59,1.5018,0.1259,1,0.3,9,0.1382
fuel,1628.77,0.6239,0.1259,1,0.45,7,0.1449
food,19454.43,1.7133,0.1897,1,0.5,9,0.2966
groceries,7750.43,1.0512,0.1897,1,0.15,11,0.0361
transport,4530.58,0.798,0.1897,1,0.4,8,0.224
shopping,8277.57,1.2741,0.1897,1,0.9,6,0.3049
entertainment,2564.48,0.699,0.1897,1,1.0,5,0.2437
utilities,2293.79,0.3618,0.1897,1,0.1,10,0.065
healthcare,2714.07,0.9573,0.1897,1,0.05,10,0.0442
investments,2699.83,0.5228,0.1897,1,0.3,7,0.064
fuel,3490.54,0.8566,0.1897,1,0.45,11,0.1897
food,11068.22,1.5056,0.1558,1,0.5,9,0.2208
groceries,3643.29,0.7633,0.1558,1,0.15,11,0.0
transport,4058.35,1.1041,0.1558,1,0.4,11,0.1726
shopping,4948.42,1.1765,0.1558,1,0.9,8,0.2236
entertainment,2006.11,0.8447,0.1558,1,1.0,5,0.2921
utilities,4754.72,1.1584,0.1558,1,0.1,12,0.1018
healthcare,230.59,0.1256,0.1558,1,0.05,11,0.0328
investments,230.59,0.069,0.1558,1,0.3,10,0.0331
fuel,2946.91,1.1171,0.1558,1,0.45,7,0.1941
food,16343.8,1.421,0.1817,1,0.5,9,0.2476
groceries,8110.56,1.086,0.1817,1,0.15,10,0.0389
transport,6176.73,1.074,0.1817,1,0.4,7,0.1139
shopping,3975.91,0.6042,0.1817,1,0.9,6,0.2797
entertainment,3081.15,0.8291,0.1817,1,1.0,9,0.2629
utilities,5447.93,0.8483,0.1817,1,0.1,11,0.0231
healthcare,548.4,0.191,0.1817,1,0.05,10,0.0418
investments,1147.31,0.2193,0.1817,1,0.3,7,0.0387
fuel,2337.92,0.5664,0.1817,1,0.45,9,0.0711
food,5998.55,0.8628,0.0858,1,0.5,8,0.2022
groceries,5860.84,1.3827,0.0858,1,0.15,10,0.0286
transport,1618.87,0.437,0.0858,1,0.4,7,0.0905
shopping,4651.73,1.3369,0.0858,1,0.9,4,0.2362
entertainment,1692.76,0.998,0.0858,1,1.0,6,0.2177
utilities,5561.92,1.6283,0.0858,1,0.1,11,0.0826
healthcare,1823.75,0.9909,0.0858,1,0.05,11,0.0
investments,3781.84,1.3583,0.0858,1,0.3,8,0.0
fuel,1380.41,0.6931,0.0858,1,0.45,9,0.1262
food,15743.82,1.4217,0.1314,1,0.5,8,0.16
groceries,6430.2,0.9525,0.1314,1,0.15,11,0.0018
transport,5975.48,1.0127,0.1314,1,0.4,8,0.0773
shopping,7136.34,1.2876,0.1314,1,0.9,8,0.2686
entertainment,2738.99,1.0139,0.1314,1,1.0,8,0.2387
utilities,3231.15,0.5939,0.1314,1,0.1,10,0.0
healthcare,3514.68,1.1989,0.1314,1,0.05,10,0.0384
investments,3958.69,0.8926,0.1314,1,0.3,8,0.0058
fuel,2091.69,0.6594,0.1314,1,0.45,9,0.085
food,16159.3,1.1657,0.1545,1,0.5,8,0.1889
groceries,6174.42,0.7306,0.1545,1,0.15,12,0.0078
transport,5919.94,0.8015,0.1545,1,0.4,7,0.1331
shopping,6321.75,0.9112,0.1545,1,0.9,7,0.237
entertainment,4359.6,1.2891,0.1545,1,1.0,8,0.3372
utilities,4547.11,0.6676,0.1545,1,0.1,12,0.014
healthcare,3134.09,0.854,0.1545,1,0.05,12,0.0165
investments,7339.66,1.3221,0.1545,1,0.3,9,0.0275
fuel,4540.41,1.1433,0.1545,1,0.45,10,0.1111
food,10013.85,0.9889,0.1025,1,0.5,11,0.1486
groceries,7489.59,1.2132,0.1025,1,0.15,11,0.0551
transport,7523.84,1.3944,0.1025,1,0.4,11,0.2259
shopping,3644.51,0.7191,0.1025,1,0.9,9,0.2506
entertainment,1433.34,0.5802,0.1025,1,1.0,5,0.3102
utilities,4539.74,0.9125,0.1025,1,0.1,10,0.0267
healthcare,3390.13,1.2646,0.1025,1,0.05,11,0.0621
investments,3532.0,0.8709,0.1025,1,0.3,7,0.0241
fuel,1599.67,0.5514,0.1025,1,0.45,7,0.2386
food,6777.58,0.8217,0.1536,1,0.5,10,0.0775
groceries,5442.78,1.0824,0.1536,1,0.15,12,0.0348
transport,4251.43,0.9674,0.1536,1,0.4,7,0.154
shopping,5470.68,1.3253,0.1536,1,0.9,9,0.2145
entertainment,2749.28,1.3663,0.1536,1,1.0,9,0.2518
utilities,4661.83,1.1504,0.1536,1,0.1,10,0.0523
healthcare,2143.64,0.9818,0.1536,1,0.05,11,0.0101
investments,5602.16,1.696,0.1536,1,0.3,9,0.1171
fuel,2665.61,1.1282,0.1536,1,0.45,9,0.1113
food,13575.42,1.1599,0.1132,1,0.5,7,0.1064
groceries,7141.09,1.0008,0.1132,1,0.15,10,0.0124
transport,6004.62,0.9628,0.1132,1,0.4,11,0.1745
shopping,4037.0,0.6892,0.1132,1,0.9,5,0.149
entertainment,4438.44,1.5545,0.1132,1,1.0,9,0.2792
utilities,6564.37,1.1416,0.1132,1,0.1,10,0.087
healthcare,1690.57,0.5456,0.1132,1,0.05,11,0.0032
investments,8741.19,1.8649,0.1132,1,0.3,8,0.0392
fuel,2340.78,0.6981,0.1132,1,0.45,7,0.18
food,14246.15,1.0686,0.1566,1,0.5,11,0.0564
groceries,5963.8,0.7338,0.1566,1,0.15,11,0.0045
transport,7548.14,1.0626,0.1566,1,0.4,10,0.1139
shopping,7303.41,1.0946,0.1566,1,0.9,9,0.2604
entertainment,2840.21,0.8733,0.1566,1,1.0,6,0.1788
utilities,7593.22,1.1593,0.1566,1,0.1,12,0.0865
healthcare,4366.59,1.2372,0.1566,1,0.05,12,0.0071
investments,4604.88,0.8625,0.1566,1,0.3,10,0.0
fuel,5358.41,1.403,0.1566,1,0.45,9,0.1551
food,10114.55,0.8696,0.2079,1,0.5,9,0.1896
groceries,7001.52,0.9873,0.2079,1,0.15,11,0.0725
transport,5967.59,0.9628,0.2079,1,0.4,11,0.1859
shopping,4090.77,0.7027,0.2079,1,0.9,8,0.2437
entertainment,4309.92,1.5188,0.2079,1,1.0,8,0.4021
utilities,5141.56,0.8997,0.2079,1,0.1,12,0.0017
healthcare,3950.29,1.2828,0.2079,1,0.05,11,0.0632
investments,5900.16,1.2666,0.2079,1,0.3,10,0.0702
fuel,2320.73,0.6965,0.2079,1,0.45,8,0.1589
food,10071.42,1.4565,0.1413,1,0.5,10,0.1904
groceries,5191.04,1.2314,0.1413,1,0.15,10,0.0202
transport,2759.2,0.7489,0.1413,1,0.4,8,0.0869
shopping,3798.08,1.0975,0.1413,1,0.9,4,0.2968
entertainment,1015.49,0.602,0.1413,1,1.0,8,0.2561
utilities,4212.29,1.2399,0.1413,1,0.1,11,0.0348
healthcare,1626.79,0.8887,0.1413,1,0.05,10,0.0314
investments,908.6,0.3281,0.1413,1,0.3,8,0.0065
fuel,2491.97,1.258,0.1413,1,0.45,11,0.1705
food,8137.6,0.6232,0.132,1,0.5,10,0.1065
groceries,8080.82,1.0151,0.132,1,0.15,11,0.0079
transport,6320.83,0.9084,0.132,1,0.4,11,0.2261
shopping,8421.47,1.2886,0.132,1,0.9,7,0.3221
entertainment,2788.23,0.8752,0.132,1,1.0,4,0.1455
utilities,4056.18,0.6323,0.132,1,0.1,12,0.0035
healthcare,4895.17,1.4161,0.132,1,0.05,12,0.0692
investments,4548.22,0.8697,0.132,1,0.3,7,0.0
fuel,4699.62,1.2563,0.132,1,0.45,10,0.1965
food,7112.22,0.8181,0.1913,1,0.5,9,0.1413
groceries,4608.76,0.8164,0.1913,1,0.15,12,0.033
transport,5323.25,1.2246,0.1913,1,0.4,10,0.2502
shopping,5465.06,1.0987,0.1913,1,0.9,8,0.231
entertainment,3932.44,1.4,0.1913,1,1.0,9,0.4195
utilities,3654.28,0.7528,0.1913,1,0.1,11,0.0485
healthcare,638.14,0.294,0.1913,1,0.05,11,0.0
investments,6081.38,1.5379,0.1913,1,0.3,7,0.1691
fuel,3157.95,1.0122,0.1913,1,0.45,11,0.177
food,14290.68,1.2502,0.2039,1,0.5,9,0.2131
groceries,8586.56,1.2322,0.2039,1,0.15,10,0.1041
transport,6339.14,1.0408,0.2039,1,0.4,11,0.135
shopping,679.19,0.1187,0.2039,1,0.9,8,0.3143
entertainment,2004.45,0.7188,0.2039,1,1.0,9,0.294
utilities,4445.13,0.7915,0.2039,1,0.1,12,0.0623
healthcare,5516.38,1.823,0.2039,1,0.05,11,0.1327
investments,7007.29,1.5308,0.2039,1,0.3,8,0.0852
fuel,2904.52,0.887,0.2039,1,0.45,8,0.1043
food,9977.09,1.0261,0.114,1,0.5,10,0.0803
groceries,5533.43,0.9334,0.114,1,0.15,12,0.0
transport,6054.83,1.1686,0.114,1,0.4,8,0.1489
shopping,6129.99,1.2597,0.114,1,0.9,5,0.2139
entertainment,1000.53,0.4218,0.114,1,1.0,9,0.228
utilities,2602.31,0.5447,0.114,1,0.1,12,0.0
healthcare,281.84,0.1095,0.114,1,0.05,10,0.0
investments,3250.54,0.8347,0.114,1,0.3,11,0.0
fuel,2841.87,1.0202,0.114,1,0.45,7,0.1549
food,10920.14,1.1565,0.0804,1,0.5,10,0.1046
groceries,5560.42,0.9659,0.0804,1,0.15,11,0.0259
transport,4465.67,0.8876,0.0804,1,0.4,10,0.1429
shopping,7622.2,1.6129,0.0804,1,0.9,8,0.3698
entertainment,260.0,0.1129,0.0804,1,1.0,7,0.2467
utilities,3462.15,0.7463,0.0804,1,0.1,10,0.04
healthcare,3174.78,1.2701,0.0804,1,0.05,10,0.064
investments,3507.76,0.9276,0.0804,1,0.3,10,0.0273
fuel,1851.95,0.6847,0.0804,1,0.45,11,0.0608
food,13213.16,1.441,0.1531,1,0.5,9,0.1311
groceries,5855.9,1.0129,0.1531,1,0.15,10,0.0711
transport,2962.46,0.6714,0.1531,1,0.4,9,0.1662
shopping,5758.11,0.6356,0.1531,1,0.9,8,0.2607
entertainment,5257.65,1.1215,0.1531,1,1.0,5,0.3056
utilities,6661.23,1.4244,0.1531,1,0.1,12,0.0529
healthcare,3836.82,1.5657,0.1531,1,0.05,11,0.0725
investments,2824.41,0.3931,0.1531,1,0.3,11,0.0441
fuel,4446.57,1.0633,0.1531,1,0.45,7,0.0827
food,7852.34,0.8464,0.1305,1,0.5,8,0.0177
groceries,6879.76,1.2163,0.1305,1,0.15,12,0.0048
transport,4943.57,1.0,0.1305,1,0.4,7,0.0904
shopping,4450.56,0.9585,0.1305,1,0.9,7,0.2489
entertainment,3670.7,1.6218,0.1305,1,1.0,9,0.273
utilities,4204.05,0.9223,0.1305,1,0.1,11,0.0
healthcare,2527.81,1.0292,0.1305,1,0.05,12,0.0
investments,4024.77,1.0832,0.1305,1,0.3,8,0.0024
fuel,2689.16,1.0118,0.1305,1,0.45,8,0.1392
food,10621.47,1.0546,0.1369,1,0.5,7,0.1287
groceries,8416.3,1.287,0.1369,1,0.15,11,0.0
transport,3064.49,0.6085,0.1369,1,0.4,8,0.0407
shopping,3961.73,0.6875,0.1369,1,0.9,9,0.2145
entertainment,2388.41,0.734,0.1369,1,1.0,5,0.2207
utilities,3064.49,0.5449,0.1369,1,0.1,11,0.0
healthcare,2906.53,1.1558,0.1369,1,0.05,12,0.0372
investments,7417.97,1.6193,0.1369,1,0.3,10,0.1
fuel,4454.57,1.2325,0.1369,1,0.45,9,0.2044
food,8130.13,1.2498,0.1748,1,0.5,10,0.1866
groceries,3834.08,0.9667,0.1748,1,0.15,10,0.0011
transport,3463.24,0.9991,0.1748,1,0.4,8,0.071
shopping,2891.27,0.888,0.1748,1,0.9,7,0.2327
entertainment,2231.31,1.4059,0.1748,1,1.0,4,0.3855
utilities,3601.52,1.1268,0.1748,1,0.1,10,0.0559
healthcare,1260.22,0.7318,0.1748,1,0.05,11,0.0
investments,2438.72,0.9361,0.1748,1,0.3,11,0.0281
fuel,2005.03,1.0759,0.1748,1,0.45,10,0.1315
food,14472.54,1.4401,0.1596,1,0.5,10,0.1281
groceries,5651.14,0.9223,0.1596,1,0.15,12,0.0225
transport,6355.1,1.1868,0.1596,1,0.4,7,0.1439
shopping,5655.99,1.1245,0.1596,1,0.9,4,0.3279
entertainment,1674.95,0.6832,0.1596,1,1.0,4,0.1709
utilities,5670.56,1.1485,0.1596,1,0.1,10,0.0386
healthcare,1704.08,0.6405,0.1596,1,0.05,12,0.0359
investments,2175.01,0.5404,0.1596,1,0.3,7,0.0
fuel,3374.18,1.172,0.1596,1,0.45,7,0.1194
food,14285.65,1.3198,0.1169,1,0.5,8,0.1289
groceries,6750.65,1.023,0.1169,1,0.15,10,0.0021
transport,4763.63,0.8259,0.1169,1,0.4,8,0.0161
shopping,5150.57,0.9508,0.1169,1,0.9,8,0.1845
entertainment,2028.86,0.7683,0.1169,1,1.0,6,0.2542
utilities,5035.54,0.9469,0.1169,1,0.1,10,0.0116
healthcare,3974.05,1.3869,0.1169,1,0.05,11,0.0655
investments,6724.51,1.5513,0.1169,1,0.3,9,0.0467
fuel,3325.65,1.0725,0.1169,1,0.45,8,0.11
food,10132.81,0.7246,0.0853,1,0.5,7,0.0734
groceries,11821.62,1.3867,0.0853,1,0.15,12,0.0085
transport,4917.79,0.66,0.0853,1,0.4,9,0.0998
shopping,10801.58,1.5434,0.0853,1,0.9,4,0.2441
entertainment,3857.22,1.1307,0.0853,1,1.0,7,0.4056
utilities,5262.31,0.766,0.0853,1,0.1,12,0.0054
healthcare,5741.93,1.5511,0.0853,1,0.05,12,0.1324
investments,1918.48,0.3426,0.0853,1,0.3,9,0.0471
fuel,4181.47,1.0438,0.0853,1,0.45,11,0.2435
food,5410.14,0.4928,0.1447,1,0.5,8,0.0882
groceries,7929.57,1.1846,0.1447,1,0.15,11,0.0127
transport,5054.77,0.864,0.1447,1,0.4,9,0.0919
shopping,8295.55,1.5097,0.1447,1,0.9,7,0.3193
entertainment,2954.36,1.103,0.1447,1,1.0,8,0.3944
utilities,6969.53,1.292,0.1447,1,0.1,12,0.0394
healthcare,4174.3,1.4361,0.1447,1,0.05,12,0.0563
investments,2355.0,0.5356,0.1447,1,0.3,10,0.0
fuel,4168.99,1.3255,0.1447,1,0.45,8,0.2094
food,20675.95,1.4343,0.0941,1,0.5,7,0.1294
groceries,10856.79,1.2353,0.0941,1,0.15,10,0.0634
transport,5529.37,0.7199,0.0941,1,0.4,11,0.1452
shopping,6546.11,0.9073,0.0941,1,0.9,6,0.1757
entertainment,814.78,0.2317,0.0941,1,1.0,6,0.2231
utilities,5487.59,0.7748,0.0941,1,0.1,11,0.018
healthcare,1650.45,0.4325,0.0941,1,0.05,11,0.0373
investments,9373.47,1.6236,0.0941,1,0.3,8,0.025
fuel,2750.76,0.6661,0.0941,1,0.45,11,0.1536
food,4735.06,0.7553,0.1075,1,0.5,11,0.1125
groceries,4251.33,1.0444,0.1075,1,0.15,12,0.0349
transport,3091.16,0.9862,0.1075,1,0.4,7,0.168
shopping,4341.78,1.2105,0.1075,1,0.9,4,0.3464
entertainment,1781.55,0.8796,0.1075,1,1.0,5,0.2532
utilities,4377.18,1.2506,0.1075,1,0.1,10,0.0107
healthcare,2666.42,1.7035,0.1075,1,0.05,11,0.1184
investments,2733.28,0.9586,0.1075,1,0.3,11,0.0291
fuel,1702.89,0.757,0.1075,1,0.45,10,0.1572
food,7689.13,1.0966,0.1171,1,0.5,10,0.1318
groceries,5366.56,1.1787,0.1171,1,0.15,10,0.0128
transport,2573.31,0.734,0.1171,1,0.4,10,0.0114
shopping,4460.4,1.1118,0.1171,1,0.9,4,0.3506
entertainment,219.94,0.0971,0.1171,1,1.0,9,0.2011
utilities,3549.85,0.9067,0.1171,1,0.1,11,0.069
healthcare,2406.15,1.3744,0.1171,1,0.05,10,0.045
investments,4631.95,1.4524,0.1171,1,0.3,10,0.0882
fuel,3730.2,1.4825,0.1171,1,0.45,11,0.1578
food,6465.01,1.2202,0.1773,1,0.5,10,0.135
groceries,4500.58,1.3082,0.1773,1,0.15,10,0.0448
transport,3506.73,1.3237,0.1773,1,0.4,9,0.1532
shopping,1209.9,0.3991,0.1773,1,0.9,7,0.1142
entertainment,1718.46,1.0039,0.1773,1,1.0,5,0.1562
utilities,3882.33,1.3124,0.1773,1,0.1,10,0.0037
healthcare,585.01,0.4422,0.1773,1,0.05,11,0.0
investments,1023.77,0.4248,0.1773,1,0.3,9,0.0
fuel,1419.31,0.7465,0.1773,1,0.45,8,0.1628
food,17128.81,1.1454,0.0823,1,0.5,11,0.246
groceries,8748.62,0.9596,0.0823,1,0.15,12,0.0217
transport,10301.85,1.2928,0.0823,1,0.4,7,0.1819
shopping,6523.54,0.8716,0.0823,1,0.9,8,0.2637
entertainment,3525.46,0.9663,0.0823,1,1.0,7,0.2832
utilities,10518.58,1.4317,0.0823,1,0.1,10,0.0373
healthcare,3937.24,0.9945,0.0823,1,0.05,12,0.013
investments,3799.98,0.6345,0.0823,1,0.3,8,0.0
fuel,4146.75,0.968,0.0823,1,0.45,9,0.0674
food,10674.49,1.0289,0.151,1,0.5,7,0.1572
groceries,5024.82,0.7459,0.151,1,0.15,11,0.0095
transport,3697.02,0.7127,0.151,1,0.4,7,0.1621
shopping,5480.44,0.9232,0.151,1,0.9,5,0.2195
entertainment,2531.94,0.7553,0.151,1,1.0,5,0.3053
utilities,7244.33,1.2506,0.151,1,0.1,12,0.0269
healthcare,6085.76,2.3492,0.151,1,0.05,10,0.1169
investments,7023.03,1.4883,0.151,1,0.3,10,0.071
fuel,3013.59,0.8094,0.151,1,0.45,9,0.0676
food,3414.9,0.5314,0.1045,1,0.5,7,0.0525
groceries,3970.6,1.0135,0.1045,1,0.15,11,0.0089
transport,3284.51,0.9592,0.1045,1,0.4,9,0.1324
shopping,3092.04,0.9614,0.1045,1,0.9,4,0.2021
entertainment,2315.92,1.4772,0.1045,1,1.0,7,0.406
utilities,2772.28,0.8781,0.1045,1,0.1,12,0.0161
healthcare,2899.56,1.7044,0.1045,1,0.05,12,0.0723
investments,3573.23,1.3884,0.1045,1,0.3,9,0.0056
fuel,1185.9,0.6442,0.1045,1,0.45,7,0.1322
food,13255.95,1.458,0.0927,1,0.5,7,0.1719
groceries,5966.32,1.0408,0.0927,1,0.15,11,0.0303
transport,3057.31,0.6988,0.0927,1,0.4,7,0.1346
shopping,6051.88,0.6737,0.0927,1,0.9,5,0.2271
entertainment,2726.48,0.5865,0.0927,1,1.0,9,0.2519
utilities,5926.39,1.278,0.0927,1,0.1,11,0.0093
healthcare,3776.01,1.554,0.0927,1,0.05,10,0.0322
investments,3810.23,0.5348,0.0927,1,0.3,10,0.0
fuel,6234.4,1.5034,0.0927,1,0.45,7,0.2281
food,10977.76,1.0039,0.1387,1,0.5,10,0.1471
groceries,6656.39,0.9984,0.1387,1,0.15,12,0.0
transport,5256.44,0.9021,0.1387,1,0.4,9,0.1282
shopping,6587.72,1.2037,0.1387,1,0.9,9,0.1756
entertainment,1827.87,0.6851,0.1387,1,1.0,5,0.2314
utilities,5848.12,1.0885,0.1387,1,0.1,11,0.0
healthcare,2393.13,0.8266,0.1387,1,0.05,12,0.0308
investments,2683.69,0.6128,0.1387,1,0.3,11,0.0052
fuel,1806.74,0.5767,0.1387,1,0.45,7,0.1924
